file,name,wins,losses,games,win_rate,terminal,colors,total_cards,draft_id,build_index
1wins_4games_3losses_wr25_id063173.dck,1wins_4games_3losses_wr25_id063173,1,3,4,25.00,eliminated,BG,40,93d5f3be35c741908e80db0cc629f7d7,0
0wins_3games_3losses_wr0_id107565.dck,0wins_3games_3losses_wr0_id107565,0,3,3,0.00,eliminated,WB,40,ffefc241b97442b681f60a3dc19db801,0
0wins_3games_3losses_wr0_id088916.dck,0wins_3games_3losses_wr0_id088916,0,3,3,0.00,eliminated,WR,40,9e1fc7d5c1554f638c3d3049a9ef60f0,1
6wins_9games_3losses_wr67_id102479.dck,6wins_9games_3losses_wr67_id102479,6,3,9,66.67,eliminated,WB,40,0730fde689a54f4d83a0cd5717814e80,0
7wins_9games_2losses_wr78_id068490.dck,7wins_9games_2losses_wr78_id068490,7,2,9,77.78,trophy,URG,40,7dd03c4dd53b4113afec19d2a678879e,0
4wins_7games_3losses_wr57_id065548.dck,4wins_7games_3losses_wr57_id065548,4,3,7,57.14,eliminated,WB,40,79ade7095d26402f95be18b594b54d17,0
1wins_4games_3losses_wr25_id023078.dck,1wins_4games_3losses_wr25_id023078,1,3,4,25.00,eliminated,WB,40,76775d36abb646f785935e4584105316,0
6wins_9games_3losses_wr67_id049455.dck,6wins_9games_3losses_wr67_id049455,6,3,9,66.67,eliminated,UR,40,6754f13160884e1192414599ea0f10d6,0
3wins_6games_3losses_wr50_id008260.dck,3wins_6games_3losses_wr50_id008260,3,3,6,50.00,eliminated,URG,40,0318d5f15f9440c2b4276c61304c69f5,1
5wins_8games_3losses_wr62_id095563.dck,5wins_8games_3losses_wr62_id095563,5,3,8,62.50,eliminated,WB,40,0cb417287782466d8f6a0566568de93d,0
6wins_9games_3losses_wr67_id132110.dck,6wins_9games_3losses_wr67_id132110,6,3,9,66.67,eliminated,WB,40,238835954d6a413f893c7d442f86523c,0
5wins_8games_3losses_wr62_id118972.dck,5wins_8games_3losses_wr62_id118972,5,3,8,62.50,eliminated,UR,40,0d5c1210002948189efbd27a4b182dbc,0
3wins_6games_3losses_wr50_id007065.dck,3wins_6games_3losses_wr50_id007065,3,3,6,50.00,eliminated,WR,40,b7a98140b4dd479ea7fc02787c72449a,0
0wins_3games_3losses_wr0_id046806.dck,0wins_3games_3losses_wr0_id046806,0,3,3,0.00,eliminated,BG,40,1bbd7a1004384cf38d20d50e8adfe5a3,0
6wins_9games_3losses_wr67_id023896.dck,6wins_9games_3losses_wr67_id023896,6,3,9,66.67,eliminated,WB,40,49820c7cc2df442e8e676ec59baa5186,0
6wins_9games_3losses_wr67_id054220.dck,6wins_9games_3losses_wr67_id054220,6,3,9,66.67,eliminated,WB,40,1e530db942454dbebd38b8ce6bef411c,0
4wins_7games_3losses_wr57_id029142.dck,4wins_7games_3losses_wr57_id029142,4,3,7,57.14,eliminated,UBRG,41,7b10a360bd454a9c9252d212f8031063,0
4wins_7games_3losses_wr57_id106185.dck,4wins_7games_3losses_wr57_id106185,4,3,7,57.14,eliminated,WG,41,b3e8536da99a4984a74bc57957ac83ff,0
4wins_7games_3losses_wr57_id119525.dck,4wins_7games_3losses_wr57_id119525,4,3,7,57.14,eliminated,WR,40,317a0fa07c6344bf96ec60cf1724b4e0,0
6wins_9games_3losses_wr67_id055112.dck,6wins_9games_3losses_wr67_id055112,6,3,9,66.67,eliminated,UG,41,3aa3d2a9681f4cb8861a9c7f451e8dd7,0
1wins_4games_3losses_wr25_id113430.dck,1wins_4games_3losses_wr25_id113430,1,3,4,25.00,eliminated,WR,40,aa8c0adee6ab4d20a4b7a4483d1ec421,0
2wins_5games_3losses_wr40_id117532.dck,2wins_5games_3losses_wr40_id117532,2,3,5,40.00,eliminated,UR,40,dffcdba927c3419cbe748460ae33b644,0
1wins_4games_3losses_wr25_id132003.dck,1wins_4games_3losses_wr25_id132003,1,3,4,25.00,eliminated,WR,40,6106550a90e448f7be8ee4ad104e6ffb,0
6wins_9games_3losses_wr67_id050483.dck,6wins_9games_3losses_wr67_id050483,6,3,9,66.67,eliminated,WB,40,b95022e8d9564bf0a24655892beb53e2,0
4wins_7games_3losses_wr57_id003484.dck,4wins_7games_3losses_wr57_id003484,4,3,7,57.14,eliminated,UR,40,f04a7dfa798e40c681e04939bfcba783,0
7wins_9games_2losses_wr78_id068512.dck,7wins_9games_2losses_wr78_id068512,7,2,9,77.78,trophy,WR,40,2e25d6d7ef83493c90230b5b78a950a7,0
7wins_9games_2losses_wr78_id032968.dck,7wins_9games_2losses_wr78_id032968,7,2,9,77.78,trophy,WR,40,73bf85d03b2b4fbc9262f65a4bb6d354,0
3wins_6games_3losses_wr50_id004345.dck,3wins_6games_3losses_wr50_id004345,3,3,6,50.00,eliminated,WR,40,0859a6438a0549d4b6c6b38cb2c32f76,1
3wins_6games_3losses_wr50_id088640.dck,3wins_6games_3losses_wr50_id088640,3,3,6,50.00,eliminated,UR,40,7c6827ea43b245b6a4d0774f323819ac,1
4wins_7games_3losses_wr57_id002851.dck,4wins_7games_3losses_wr57_id002851,4,3,7,57.14,eliminated,UR,40,55faab1f283a461e90f27b9214b79abe,0
2wins_5games_3losses_wr40_id066327.dck,2wins_5games_3losses_wr40_id066327,2,3,5,40.00,eliminated,WB,40,16c3169c6126406c9479b04d2f04a114,0
5wins_8games_3losses_wr62_id096615.dck,5wins_8games_3losses_wr62_id096615,5,3,8,62.50,eliminated,WR,40,05ee076b96294a47bfea043effa637ac,0
1wins_4games_3losses_wr25_id078804.dck,1wins_4games_3losses_wr25_id078804,1,3,4,25.00,eliminated,WB,40,1f2f86764a3742aeb8ccdf45638768b3,1
2wins_5games_3losses_wr40_id083844.dck,2wins_5games_3losses_wr40_id083844,2,3,5,40.00,eliminated,UG,40,4c6ecf3a15d7471d839835ed1ad6b8f8,0
1wins_4games_3losses_wr25_id100929.dck,1wins_4games_3losses_wr25_id100929,1,3,4,25.00,eliminated,WR,40,420e328e4544462380f580711fb7a2dc,0
0wins_3games_3losses_wr0_id126129.dck,0wins_3games_3losses_wr0_id126129,0,3,3,0.00,eliminated,UR,40,030ec94d573d4f8f82d49475a5fdf854,0
2wins_5games_3losses_wr40_id066615.dck,2wins_5games_3losses_wr40_id066615,2,3,5,40.00,eliminated,UR,40,85d9ae14aee1489183ed104cddf281e9,0
6wins_9games_3losses_wr67_id073237.dck,6wins_9games_3losses_wr67_id073237,6,3,9,66.67,eliminated,WR,40,54f6e91bb5eb4adbb9ab0570f11da97f,0
5wins_8games_3losses_wr62_id082802.dck,5wins_8games_3losses_wr62_id082802,5,3,8,62.50,eliminated,WR,40,4fa2f7fac0a949f6a2ca2c896fd3a130,0
4wins_7games_3losses_wr57_id082437.dck,4wins_7games_3losses_wr57_id082437,4,3,7,57.14,eliminated,WR,40,f580569a759640b894e236beaf7ca920,0
2wins_5games_3losses_wr40_id064600.dck,2wins_5games_3losses_wr40_id064600,2,3,5,40.00,eliminated,BG,41,935e306e78b4440ca436e9d737d673b6,0
2wins_5games_3losses_wr40_id027385.dck,2wins_5games_3losses_wr40_id027385,2,3,5,40.00,eliminated,WR,40,01b5d6f69bb948f3baaa5b6d5decef27,0
2wins_5games_3losses_wr40_id101900.dck,2wins_5games_3losses_wr40_id101900,2,3,5,40.00,eliminated,BG,41,b6a6fc851e4049698a0c866feb1c25b8,0
7wins_8games_1losses_wr88_id081372.dck,7wins_8games_1losses_wr88_id081372,7,1,8,87.50,trophy,BG,40,0eff304e35584c1b8e7da4231d68054c,0
4wins_7games_3losses_wr57_id074710.dck,4wins_7games_3losses_wr57_id074710,4,3,7,57.14,eliminated,WBR,40,2f2932f2c8bc4d7b8a93a899c21ef46f,0
6wins_9games_3losses_wr67_id028488.dck,6wins_9games_3losses_wr67_id028488,6,3,9,66.67,eliminated,WR,40,134bc306be4946d8aefe33d419c4e8a8,0
0wins_3games_3losses_wr0_id064409.dck,0wins_3games_3losses_wr0_id064409,0,3,3,0.00,eliminated,WR,40,cbf4665516d847559d15d861629dd210,0
4wins_7games_3losses_wr57_id021978.dck,4wins_7games_3losses_wr57_id021978,4,3,7,57.14,eliminated,UR,40,5ac44e1e1ba8492d977fd0c3c4963cc6,0
4wins_7games_3losses_wr57_id017739.dck,4wins_7games_3losses_wr57_id017739,4,3,7,57.14,eliminated,UR,40,2ce8c1ef5d6444d98d2dc1a9c6457805,0
5wins_8games_3losses_wr62_id096721.dck,5wins_8games_3losses_wr62_id096721,5,3,8,62.50,eliminated,WR,40,42b0242b1ee5455ca69785c59f94010a,0
1wins_4games_3losses_wr25_id096491.dck,1wins_4games_3losses_wr25_id096491,1,3,4,25.00,eliminated,UR,40,66753a4110c547408416b130746e4454,0
2wins_5games_3losses_wr40_id065686.dck,2wins_5games_3losses_wr40_id065686,2,3,5,40.00,eliminated,WR,40,854dc9a831db47d99feff8d124810e3c,0
4wins_7games_3losses_wr57_id085678.dck,4wins_7games_3losses_wr57_id085678,4,3,7,57.14,eliminated,WBR,41,ca114475e81b4f16a47bab4b305f66f5,0
7wins_8games_1losses_wr88_id018673.dck,7wins_8games_1losses_wr88_id018673,7,1,8,87.50,trophy,WR,40,4ccf75e925634027b750523c8294158d,0
0wins_3games_3losses_wr0_id103727.dck,0wins_3games_3losses_wr0_id103727,0,3,3,0.00,eliminated,UR,40,0e45d69a7e18444b9eff5d2a68e28853,0
5wins_8games_3losses_wr62_id014488.dck,5wins_8games_3losses_wr62_id014488,5,3,8,62.50,eliminated,UR,40,499c72dff2214d10aae51dadc014e1c1,0
3wins_6games_3losses_wr50_id108244.dck,3wins_6games_3losses_wr50_id108244,3,3,6,50.00,eliminated,UG,40,6ab797d7230a4e8bb8a043f6a4ae0281,1
3wins_6games_3losses_wr50_id028971.dck,3wins_6games_3losses_wr50_id028971,3,3,6,50.00,eliminated,URG,40,0f4d610224cb433f840890f65bacd763,0
7wins_9games_2losses_wr78_id118319.dck,7wins_9games_2losses_wr78_id118319,7,2,9,77.78,trophy,UR,40,c20bf8f1a8a34127b6c08bd3df911a15,0
3wins_6games_3losses_wr50_id064425.dck,3wins_6games_3losses_wr50_id064425,3,3,6,50.00,eliminated,UG,40,d23967dd71ce4276808ca2c22af91e66,0
0wins_3games_3losses_wr0_id050528.dck,0wins_3games_3losses_wr0_id050528,0,3,3,0.00,eliminated,WB,40,bd2703acc95044a69a29a8b73342e108,0
3wins_6games_3losses_wr50_id089421.dck,3wins_6games_3losses_wr50_id089421,3,3,6,50.00,eliminated,UR,40,f59f79b7feae44a289e73d1191dd4c6b,0
6wins_9games_3losses_wr67_id014772.dck,6wins_9games_3losses_wr67_id014772,6,3,9,66.67,eliminated,WB,40,30c0ec52b71b4647aa6d561b1cb42336,0
2wins_5games_3losses_wr40_id023015.dck,2wins_5games_3losses_wr40_id023015,2,3,5,40.00,eliminated,UR,41,980d9ed3177941c9a6e07e5017c56a0c,0
5wins_8games_3losses_wr62_id095884.dck,5wins_8games_3losses_wr62_id095884,5,3,8,62.50,eliminated,WR,40,e553c29a2171405db94654949bc64eb1,0
1wins_4games_3losses_wr25_id127242.dck,1wins_4games_3losses_wr25_id127242,1,3,4,25.00,eliminated,UG,40,5af7224e2deb4b51841f406253114e73,0
